0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.862902,-0.811581,-0.851943,-0.810579,-0.796765,0.048633,-0.260150,-0.755562,-0.875054,-0.859746,-0.369580,-0.328832,-0.721224,-0.699574,-0.503770,-0.730117,-0.928506,-0.866621,-0.829575,-0.847416,-0.808639,-0.743341,-0.787661,-0.708172,-0.746936,-0.826758,-0.170231,-0.957500,-0.855183,-0.706605,-0.604286,-0.680826
-0.877025,-0.829745,-0.881836,-0.846668,-0.804734,0.055633,-0.257466,-0.799452,-0.831421,-0.863392,-0.370264,-0.329704,-0.712326,-0.703752,-0.500716,-0.720225,-0.963365,-0.894326,-0.844609,-0.853532,-0.859809,-0.753535,-0.793788,-0.682895,-0.668148,-0.832289,-0.170193,-0.968612,-0.858132,-0.709260,-0.609132,-0.722708
-0.834572,-0.776501,-0.870388,-0.799832,-0.753546,0.068990,-0.280675,-0.768678,-0.802749,-0.858068,-0.370591,-0.327146,-0.706659,-0.679714,-0.499756,-0.718673,-0.952498,-0.889624,-0.794934,-0.800914,-0.877198,-0.726063,-0.776987,-0.669674,-0.749927,-0.839047,-0.170777,-0.981608,-0.860687,-0.713524,-0.609174,-0.713730
-0.853931,-0.768690,-0.724681,-0.773843,-0.776496,0.069773,-0.283590,-0.784647,-0.907844,-0.850000,-0.366639,-0.319754,-0.703621,-0.700308,-0.472910,-0.721863,-0.813455,-0.689448,-0.634888,-0.721887,-0.650205,-0.610618,-0.677547,-0.495612,-0.776832,-0.822060,-0.162305,-0.908854,-0.847665,-0.707508,-0.611170,-0.726124
-0.859309,-0.824943,-0.896015,-0.823183,-0.787041,0.049835,-0.258481,-0.845123,-0.893589,-0.879411,-0.370647,-0.330108,-0.699340,-0.698546,-0.494569,-0.727680,-0.961060,-0.912575,-0.843451,-0.830523,-0.892620,-0.786745,-0.828876,-0.749695,-0.765156,-0.824284,-0.172587,-0.989435,-0.860152,-0.713354,-0.601038,-0.717616
-0.906882,-0.885997,-0.932158,-0.895176,-0.846927,0.058433,-0.276071,-0.871160,-0.908759,-0.914482,-0.374177,-0.333837,-0.709032,-0.688723,-0.505046,-0.747164,-1.007841,-0.955648,-0.926756,-0.896807,-0.919389,-0.761077,-0.863716,-0.787977,-0.751111,-0.882412,-0.174491,-1.007497,-0.868602,-0.708865,-0.612215,-0.731565
-0.914337,-0.886297,-0.921044,-0.885434,-0.848816,0.057832,-0.281491,-0.791343,-0.944334,-0.926135,-0.375902,-0.332835,-0.716832,-0.707818,-0.501549,-0.747116,-1.008517,-0.957838,-0.935508,-0.912707,-0.938360,-0.790776,-0.853024,-0.812269,-0.760913,-0.830470,-0.173625,-0.987491,-0.871839,-0.711770,-0.616230,-0.729956
-0.916223,-0.878940,-0.921466,-0.872118,-0.843486,0.061164,-0.292024,-0.796574,-0.932886,-0.931304,-0.369560,-0.327950,-0.709944,-0.691414,-0.504005,-0.740853,-1.008008,-0.941835,-0.936941,-0.918804,-0.915692,-0.791657,-0.848096,-0.798481,-0.717689,-0.793148,-0.173980,-0.970760,-0.859996,-0.709611,-0.614662,-0.727191
-0.914432,-0.882172,-0.904711,-0.872590,-0.813722,0.058611,-0.297885,-0.794672,-0.919550,-0.910121,-0.374441,-0.327394,-0.705155,-0.681684,-0.495145,-0.744319,-1.006178,-0.946203,-0.938976,-0.921607,-0.920407,-0.699837,-0.835289,-0.796516,-0.744298,-0.833496,-0.172844,-0.978140,-0.858377,-0.711837,-0.607959,-0.722524
-0.892526,-0.856062,-0.900523,-0.859760,-0.804803,0.053993,0.119618,-0.717969,-0.939609,-0.914772,-0.373969,-0.330495,-0.709573,-0.670407,-0.505353,-0.734201,-0.985869,-0.917924,-0.916373,-0.887547,-0.881745,-0.790789,-0.836444,-0.776650,-0.720687,-0.815136,-0.173994,-0.988113,-0.867139,-0.693323,-0.608062,-0.712615
